Packet{sourceIP='192.168.1.90', destIP='10.0.0.75', sourcePort=47497, destPort=367, protocol='ICMP'} -> DENIED
Packet{sourceIP='192.169', destIP='10.0.074', sourcePort=47496, destPort=367, protocol='ICMP'} -> DENIED
Packet{sourceIP='192.168.1.131', destIP='10.0.0.186', sourcePort=32034, destPort=914, protocol='TCP'} -> DENIED
Packet{sourceIP='192.168.1.211', destIP='10.0.0.70', sourcePort=22689, destPort=60, protocol='TCP'} -> DENIED
Packet{sourceIP='192.168.1.117', destIP='10.0.0.59', sourcePort=12419, destPort=256, protocol='UDP'} -> DENIED
Packet{sourceIP='192.168.1.113', destIP='10.0.0.44', sourcePort=51397, destPort=687, protocol='UDP'} -> DENIED
Packet{sourceIP='192.168.1.135', destIP='10.0.0.61', sourcePort=6574, destPort=6, protocol='TCP'} -> DENIED
Packet{sourceIP='192.168.1.178', destIP='10.0.0.240', sourcePort=64337, destPort=186, protocol='TCP'} -> DENIED
Packet{sourceIP='192.168.1.219', destIP='10.0.0.133', sourcePort=46331, destPort=517, protocol='TCP'} -> DENIED
Packet{sourceIP='192.168.1.43', destIP='10.0.0.5', sourcePort=65400, destPort=453, protocol='TCP'} -> DENIED
Packet{sourceIP='192.168.1.165', destIP='10.0.0.58', sourcePort=10560, destPort=191, protocol='TCP'} -> DENIED
Packet{sourceIP='192.168.1.8', destIP='10.0.0.31', sourcePort=778, destPort=522, protocol='ICMP'} -> DENIED
Packet{sourceIP='192.168.1.158', destIP='10.0.0.69', sourcePort=16170, destPort=206, protocol='TCP'} -> DENIED
Packet{sourceIP='192.168.1.39', destIP='10.0.0.123', sourcePort=29686, destPort=926, protocol='TCP'} -> DENIED
Packet{sourceIP='192.168.1.69', destIP='10.0.0.76', sourcePort=50359, destPort=559, protocol='TCP'} -> DENIED
Packet{sourceIP='192.168.1.170', destIP='10.0.0.234', sourcePort=39005, destPort=1011, protocol='UDP'} -> DENIED
Packet{sourceIP='192.168.1.109', destIP='10.0.0.73', sourcePort=41290, destPort=22, protocol='ICMP'} -> DENIED
Packet{sourceIP='192.168.1.216', destIP='10.0.0.116', sourcePort=64867, destPort=486, protocol='TCP'} -> DENIED
Packet{sourceIP='192.168.1.236', destIP='10.0.0.164', sourcePort=10054, destPort=745, protocol='UDP'} -> DENIED
Packet{sourceIP='192.168.1.204', destIP='10.0.0.71', sourcePort=25410, destPort=913, protocol='ICMP'} -> DENIED
Packet{sourceIP='192.168.1.93', destIP='10.0.0.169', sourcePort=37704, destPort=847, protocol='ICMP'} -> DENIED
Packet{sourceIP='192.168.1.133', destIP='10.0.0.42', sourcePort=51964, destPort=152, protocol='TCP'} -> DENIED
Packet{sourceIP='192.168.1.250', destIP='10.0.0.202', sourcePort=24369, destPort=575, protocol='UDP'} -> DENIED
Packet{sourceIP='192.168.1.108', destIP='10.0.0.58', sourcePort=14457, destPort=653, protocol='ICMP'} -> DENIED
Packet{sourceIP='192.168.1.56', destIP='10.0.0.43', sourcePort=40141, destPort=791, protocol='UDP'} -> DENIED
